Name,ID,neighborIDs,capacity,isRoute,isBlack,vpPerTurn,vpEndGame,influencePerTurn,numWhiteTroops
The Phaerlin,1,"2,4",3,0,0,1,2,1,2
South West of Phaerlin,2,"1,3",1,1,0,0,0,0,0
Yathchol,3,2,2,0,0,0,4,0,2
South East of Phaerlin,4,"1,5",1,1,0,0,0,0,0
North of Ruins of Dekanter,5,"4,6",1,1,0,0,0,0,0
Ruins of Dekanter,6,"5,7,8",6,0,0,0,5,0,2
West of Ruins of Dekanter,7,6,1,1,0,0,0,0,0
South of Ruins of Dekanter,8,"6,9",1,1,0,0,0,0,0
Ss’zuraass’nee,9,"8,10",3,0,0,1,2,1,2
West of Ss’zuraass’nee,10,"9,11",1,1,0,0,0,0,0
East of Llacerellyn,11,"10,12",1,1,0,0,0,0,0
Llacerellyn,12,"11,13",2,0,0,0,0,0,0
North of Llacerellyn,13,"12,14",1,1,0,0,0,0,0
South of Ched Nasad,14,"13,15",1,1,0,0,0,0,0
Ched Nasad,15,"14,7,16",4,0,1,0,3,0,0
South of Yathchol,16,"15,3",1,1,0,0,0,0,0
West of Yathchol,17,"3,18",1,1,0,0,0,0,0
Halls of the Scoured Legion,18,"17,20,25",2,0,0,0,3,0,1
North of Ched Nasad,19,"15,20",1,1,0,0,0,0,0
South of Halls of the Scoured Legion,20,"18,19",1,1,0,0,0,0,0
West of Phaerlin,21,"1,22",1,1,0,0,0,0,0
Chaulssin,22,"21,23",5,0,1,0,4,0,0
West of Chaulssin,23,"22,24",1,1,0,0,0,0,0
Everfire,24,"23,25,26,27",3,0,0,0,3,0,0
North of Halls of the Scoured Legion,25,"24,18",1,1,0,0,0,0,0
North West of Everfire,26,24,1,1,0,0,0,0,0
South West of Everfire,27,"24,28",1,1,0,0,0,0,0
Chasmleap Bridge,28,"27,29,30,31",1,0,0,0,1,0,0
South of Chasmleap Bridge,29,28,1,1,0,0,0,0,1
West of Chasmleap Bridge,30,28,1,1,0,0,0,0,0
North of Chasmleap Bridge,31,28,1,1,0,0,0,0,0
Menzoberranzan,32,"33,34,35",6,0,0,2,5,1,3
South of Menzoberranzan,33,"32,31",1,1,0,0,0,0,0
East of Menzoberranzan,34,"32,26",1,1,0,0,0,0,0
West of Menzoberranzan,35,"32,36",1,1,0,0,0,0,0
East of Mantol-Derith,36,"35,37",1,1,0,0,0,0,0
South East of Mantol-Derith,37,"36,38",1,1,0,0,0,0,0
Mantol-Derith,38,48,5,0,1,0,4,0,2
Blingdenstone,39,40,2,0,0,0,4,0,2
South of Blingdenstone,40,"38,39",1,1,0,0,0,0,1
West of Mantol-Derith,41,"38,42",1,1,0,0,0,0,0
The Wormwrithings,42,"41,43",3,0,0,0,3,0,0
The Gauntlgrym,43,"42,44",3,0,0,1,2,1,2
South of Gauntlgrym,44,"43,45",1,1,0,0,0,0,0
Jhachalkhyn,45,"44,46",4,0,1,0,4,0,0
East of Jhachalkhyn,46,"45,47",1,1,0,0,0,0,0
Gracklstugh,47,"46,48,49,50",4,0,0,0,3,0,2
North of Gracklstugh,48,"47,38",1,1,0,0,0,0,0
East of Gracklstugh,49,"47,30",1,1,0,0,0,0,0
South of Gracklstugh,50,47,1,1,0,0,0,0,0
Buiyrandyn,51,,1,1,0,0,0,0,0
North of Buiyrandyn,52,,1,1,0,0,0,0,0
East of Buiyrandyn,53,,1,1,0,0,0,0,0
South of Buiyrandyn,54,,1,1,0,0,0,0,0
,55,,1,1,0,0,0,0,0
,56,,1,1,0,0,0,0,0
,57,,1,1,0,0,0,0,0
,58,,1,1,0,0,0,0,0
,59,,1,1,0,0,0,0,0
,60,,1,1,0,0,0,0,0
,61,,1,1,0,0,0,0,0
,62,,1,1,0,0,0,0,0
,63,,1,1,0,0,0,0,0
,64,,1,1,0,0,0,0,0
,65,,1,1,0,0,0,0,0
,66,,1,1,0,0,0,0,0
,67,,1,1,0,0,0,0,0
,68,,1,1,0,0,0,0,0
,69,,1,1,0,0,0,0,0
,70,,1,1,0,0,0,0,0
,71,,1,1,0,0,0,0,0
,72,,1,1,0,0,0,0,0
,73,,1,1,0,0,0,0,0
,74,,1,1,0,0,0,0,0
,75,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
,,,1,1,0,0,0,0,0
